registered,registration_target,decision,reason,title,primary_artist,album,album_artist,genre,duration_sec,file_path_linux,file_path_windows,file_ext,file_size_bytes
1,0,include,tagged vocal/music candidate,桃幻浪漫,Airots & Active Planets & AUGUST,桃幻浪漫 - Single,Airots & Active Planets & AUGUST,アニメ,333,/mnt/d/yu28s/Music/Airots & Active Planets & AUGUST/桃幻浪漫 - Single/01 桃幻浪漫.m4a,D:\yu28s\Music\Airots & Active Planets & AUGUST\桃幻浪漫 - Single\01 桃幻浪漫.m4a,.m4a,12130615
1,0,review,soundtrack album,KIRA*LIRA,グロリア*スノウ(天ヶ峰蓮菜 CV:東雲りあ×輝由奈 CV:小鳥居夕花),恋愛×ロワイアル ORIGINAL SOUND TRACK,ASa Project,J-Pop,285,/mnt/d/yu28s/Music/ASa Project/恋愛×ロワイアル ORIGINAL SOUND TRACK/06 KIRA_LIRA.m4a,D:\yu28s\Music\ASa Project\恋愛×ロワイアル ORIGINAL SOUND TRACK\06 KIRA_LIRA.m4a,.m4a,10367725
1,0,include,tagged vocal/music candidate,レンブラントの光,yozuca*,D.C. II to You ボーカルミニアルバム - EP,ヴァリアス・アーティスト,Soundtrack,347,/mnt/d/yu28s/Music/Compilations/D.C. II to You ボーカルミニアルバム - EP/01 レンブラントの光.m4a,D:\yu28s\Music\Compilations\D.C. II to You ボーカルミニアルバム - EP\01 レンブラントの光.m4a,.m4a,12731960
1,0,include,tagged vocal/music candidate,First Time,夢乃ゆき,MELLOW MUSIC BEST 2020-2024,,Soundtrack,252,/mnt/d/yu28s/Music/Compilations/MELLOW MUSIC BEST 2020-2024/1-01 First Time.m4a,D:\yu28s\Music\Compilations\MELLOW MUSIC BEST 2020-2024\1-01 First Time.m4a,.m4a,8207962
1,0,include,tagged vocal/music candidate,Petrichor,夢乃ゆき,MELLOW MUSIC BEST 2020-2024,,Soundtrack,247,/mnt/d/yu28s/Music/Compilations/MELLOW MUSIC BEST 2020-2024/1-02 Petrichor.m4a,D:\yu28s\Music\Compilations\MELLOW MUSIC BEST 2020-2024\1-02 Petrichor.m4a,.m4a,8071404
1,0,include,tagged vocal/music candidate,アイを識らない。,夢乃ゆき,MELLOW MUSIC BEST 2020-2024,,Soundtrack,242,/mnt/d/yu28s/Music/Compilations/MELLOW MUSIC BEST 2020-2024/1-03 アイを識らない。.m4a,D:\yu28s\Music\Compilations\MELLOW MUSIC BEST 2020-2024\1-03 アイを識らない。.m4a,.m4a,7877493
1,0,include,tagged vocal/music candidate,Rained Tonight,ricono,MELLOW MUSIC BEST 2020-2024,,Soundtrack,235,/mnt/d/yu28s/Music/Compilations/MELLOW MUSIC BEST 2020-2024/1-04 Rained Tonight.m4a,D:\yu28s\Music\Compilations\MELLOW MUSIC BEST 2020-2024\1-04 Rained Tonight.m4a,.m4a,7665126
1,0,include,tagged vocal/music candidate,虹色の愛,夢乃ゆき,MELLOW MUSIC BEST 2020-2024,,Soundtrack,298,/mnt/d/yu28s/Music/Compilations/MELLOW MUSIC BEST 2020-2024/1-05 虹色の愛.m4a,D:\yu28s\Music\Compilations\MELLOW MUSIC BEST 2020-2024\1-05 虹色の愛.m4a,.m4a,9659772
1,0,include,tagged vocal/music candidate,トロイメライ,夢乃ゆき,MELLOW MUSIC BEST 2020-2024,,Soundtrack,245,/mnt/d/yu28s/Music/Compilations/MELLOW MUSIC BEST 2020-2024/1-06 トロイメライ.m4a,D:\yu28s\Music\Compilations\MELLOW MUSIC BEST 2020-2024\1-06 トロイメライ.m4a,.m4a,7990200
1,0,include,tagged vocal/music candidate,BlackAct,八花,MELLOW MUSIC BEST 2020-2024,,Soundtrack,249,/mnt/d/yu28s/Music/Compilations/MELLOW MUSIC BEST 2020-2024/1-07 BlackAct.m4a,D:\yu28s\Music\Compilations\MELLOW MUSIC BEST 2020-2024\1-07 BlackAct.m4a,.m4a,8161722
