registered,registration_target,decision,reason,title,primary_artist,album,album_artist,genre,duration_sec,file_path_linux,file_path_windows,file_ext,file_size_bytes
0,1,include,tagged vocal/music candidate,さくらいろ、舞うころに,I.O.,Symphony Sounds Generation 2019,,Soundtrack,221,/mnt/d/yu28s/Music/music_centor/Compilations/Symphony Sounds Generation 2019/05 さくらいろ、舞うころに.m4a,D:\yu28s\Music\music_centor\Compilations\Symphony Sounds Generation 2019\05 さくらいろ、舞うころに.m4a,.m4a,3597112
0,1,include,tagged vocal/music candidate,夢と色でできているinstrumental,佐咲紗花/藍月なくる,『夢と色でできている』OP/ED,,Other,285,/mnt/d/yu28s/Music/music_centor/Compilations/『夢と色でできている』OP_ED/04 夢と色でできているinstrumental.m4a,D:\yu28s\Music\music_centor\Compilations\『夢と色でできている』OP_ED\04 夢と色でできているinstrumental.m4a,.m4a,4633870
0,1,include,tagged vocal/music candidate,これくらいでinstrumental,佐咲紗花/藍月なくる,『夢と色でできている』OP/ED,,Other,213,/mnt/d/yu28s/Music/music_centor/Compilations/『夢と色でできている』OP_ED/05 これくらいでinstrumental.m4a,D:\yu28s\Music\music_centor\Compilations\『夢と色でできている』OP_ED\05 これくらいでinstrumental.m4a,.m4a,3481393
0,1,include,tagged vocal/music candidate,雪は何色(Inst.),ぱれっと,ましろ色シンフォニー SANA EDITION Maxi Single,,Soundtrack,206,/mnt/d/yu28s/Music/music_centor/Compilations/ましろ色シンフォニー SANA EDITION Maxi Single/05 雪は何色(Inst.).m4a,D:\yu28s\Music\music_centor\Compilations\ましろ色シンフォニー SANA EDITION Maxi Single\05 雪は何色(Inst.).m4a,.m4a,3351693
0,1,include,tagged vocal/music candidate,春を連れて Inst.,ぱれっと,ましろ色シンフォニー SANA EDITION Maxi Single,,Soundtrack,242,/mnt/d/yu28s/Music/music_centor/Compilations/ましろ色シンフォニー SANA EDITION Maxi Single/06 春を連れて Inst..m4a,D:\yu28s\Music\music_centor\Compilations\ましろ色シンフォニー SANA EDITION Maxi Single\06 春を連れて Inst..m4a,.m4a,3960579
0,1,include,tagged vocal/music candidate,新世界のα inst,Luna,アインシュタインより愛を込めて　Complete Vocal Collection,,Other,268,/mnt/d/yu28s/Music/music_centor/Compilations/アインシュタインより愛を込めて　Complete Vocal Collectio/05 新世界のα inst.m4a,D:\yu28s\Music\music_centor\Compilations\アインシュタインより愛を込めて　Complete Vocal Collectio\05 新世界のα inst.m4a,.m4a,4365791
0,1,include,tagged vocal/music candidate,願い星 inst,Luna,アインシュタインより愛を込めて　Complete Vocal Collection,,Other,314,/mnt/d/yu28s/Music/music_centor/Compilations/アインシュタインより愛を込めて　Complete Vocal Collectio/06 願い星 inst.m4a,D:\yu28s\Music\music_centor\Compilations\アインシュタインより愛を込めて　Complete Vocal Collectio\06 願い星 inst.m4a,.m4a,4953441
0,1,include,tagged vocal/music candidate,Answer inst,Duca,アインシュタインより愛を込めて　Complete Vocal Collection,,Other,290,/mnt/d/yu28s/Music/music_centor/Compilations/アインシュタインより愛を込めて　Complete Vocal Collectio/07 Answer inst.m4a,D:\yu28s\Music\music_centor\Compilations\アインシュタインより愛を込めて　Complete Vocal Collectio\07 Answer inst.m4a,.m4a,4691770
0,1,include,tagged vocal/music candidate,新世界のα male ver inst,ヒヒョン,アインシュタインより愛を込めて　Complete Vocal Collection,,Other,262,/mnt/d/yu28s/Music/music_centor/Compilations/アインシュタインより愛を込めて　Complete Vocal Collectio/08 新世界のα male ver inst.m4a,D:\yu28s\Music\music_centor\Compilations\アインシュタインより愛を込めて　Complete Vocal Collectio\08 新世界のα male ver inst.m4a,.m4a,4273308
0,1,include,tagged vocal/music candidate,True Memories Symphony inst ver.,佐咲紗花,ウソシリーズコンプリートボーカルアルバム,,Soundtrack,252,/mnt/d/yu28s/Music/music_centor/Compilations/ウソシリーズコンプリートボーカルアルバム/03 True Memories Symphony inst ver..m4a,D:\yu28s\Music\music_centor\Compilations\ウソシリーズコンプリートボーカルアルバム\03 True Memories Symphony inst ver..m4a,.m4a,4120016
0,1,include,tagged vocal/music candidate,A new day-to-day will come. inst ver.,Ayumi,ウソシリーズコンプリートボーカルアルバム,,Soundtrack,263,/mnt/d/yu28s/Music/music_centor/Compilations/ウソシリーズコンプリートボーカルアルバム/06 A new day-to-day will come. inst.m4a,D:\yu28s\Music\music_centor\Compilations\ウソシリーズコンプリートボーカルアルバム\06 A new day-to-day will come. inst.m4a,.m4a,4249161
0,1,include,tagged vocal/music candidate,Liar for you xxx inst ver.,AiRI,ウソシリーズコンプリートボーカルアルバム,,Soundtrack,271,/mnt/d/yu28s/Music/music_centor/Compilations/ウソシリーズコンプリートボーカルアルバム/09 Liar for you xxx inst ver..m4a,D:\yu28s\Music\music_centor\Compilations\ウソシリーズコンプリートボーカルアルバム\09 Liar for you xxx inst ver..m4a,.m4a,4449754
0,1,include,tagged vocal/music candidate,crazy blood to you inst ver.,橋本みゆき,ウソシリーズコンプリートボーカルアルバム,,Soundtrack,273,/mnt/d/yu28s/Music/music_centor/Compilations/ウソシリーズコンプリートボーカルアルバム/12 crazy blood to you inst ver..m4a,D:\yu28s\Music\music_centor\Compilations\ウソシリーズコンプリートボーカルアルバム\12 crazy blood to you inst ver..m4a,.m4a,4432110
0,1,include,tagged vocal/music candidate,Snow World End inst ver.,榊原ゆい,ウソシリーズコンプリートボーカルアルバム,,Soundtrack,272,/mnt/d/yu28s/Music/music_centor/Compilations/ウソシリーズコンプリートボーカルアルバム/15 Snow World End inst ver..m4a,D:\yu28s\Music\music_centor\Compilations\ウソシリーズコンプリートボーカルアルバム\15 Snow World End inst ver..m4a,.m4a,4345252
