reason	title	artist	source_path
missing_tag			/mnt/d/yu28s/Music/feng/2-03_せつなさのグラデイション_ハイレゾ.wav
missing_tag			/mnt/d/yu28s/Music/feng/2-04_あかね色に染まる坂_ハイレゾ.wav
missing_tag			/mnt/d/yu28s/Music/feng/2-05_星空へ架かる橋_ハイレゾ.wav
missing_tag			/mnt/d/yu28s/Music/feng/2-06_広がる夜空の下で_ハイレゾ.wav
missing_tag			/mnt/d/yu28s/Music/feng/2-07_Let’s GO☆ミ_ハイレゾ.wav
missing_tag			/mnt/d/yu28s/Music/feng/2-08_乙女至上主義_ハイレゾ.wav
missing_tag			/mnt/d/yu28s/Music/feng/2-09_4SEASONs_ハイレゾ.wav
missing_tag			/mnt/d/yu28s/Music/feng/2-10_星空のいま_ハイレゾ.wav
missing_tag			/mnt/d/yu28s/Music/feng/3-01_マリンブルーに沿って_ハイレゾ.wav
missing_tag			/mnt/d/yu28s/Music/feng/3-02_キスのひとつで_ハイレゾ.wav
missing_tag			/mnt/d/yu28s/Music/feng/3-03_冬に咲く華_ハイレゾ.wav
missing_tag			/mnt/d/yu28s/Music/feng/3-04_夜明けのベルが鳴る_ハイレゾ.wav
missing_tag			/mnt/d/yu28s/Music/feng/3-05_ホントノトコロ_ハイレゾ.wav
missing_tag			/mnt/d/yu28s/Music/feng/3-06_Because of_ハイレゾ.wav
missing_tag			/mnt/d/yu28s/Music/feng/3-07_片思いのメロディを_ハイレゾ.wav
missing_tag			/mnt/d/yu28s/Music/feng/3-08_JUMPING TO DAYS!_ハイレゾ.wav
missing_tag			/mnt/d/yu28s/Music/feng/3-09_友愛進化論_ハイレゾ.wav
missing_tag			/mnt/d/yu28s/Music/feng/3-10_夢と色でできている_ハイレゾ.wav
missing_tag			/mnt/d/yu28s/Music/feng/3-11_これくらいで_ハイレゾ.wav
missing_tag			/mnt/d/yu28s/Music/feng/3-12_夢と色でできている Grand End_ハイレゾ.wav
missing_tag			/mnt/d/yu28s/Music/LastLetter (LastLetter（DL版）)/01 Archive.wav
missing_tag			/mnt/d/yu28s/Music/LastLetter (LastLetter（DL版）)/02 KiminoHimitsuWoOshiete.wav
missing_tag			/mnt/d/yu28s/Music/LastLetter (LastLetter（DL版）)/03 CutOutLovers.wav
missing_tag			/mnt/d/yu28s/Music/LastLetter (LastLetter（DL版）)/04 ZinseiKyakuhon.wav
missing_tag			/mnt/d/yu28s/Music/LastLetter (LastLetter（DL版）)/05 Aoironomachide.wav
missing_tag			/mnt/d/yu28s/Music/LastLetter (LastLetter（DL版）)/06 I Wanna Be.wav
missing_tag			/mnt/d/yu28s/Music/LastLetter (LastLetter（DL版）)/07 Period.wav
missing_tag			/mnt/d/yu28s/Music/LastLetter (LastLetter（DL版）)/08 Lastletter.wav
missing_tag			/mnt/d/yu28s/Music/Music Center/Music Center/ハミダシクリエイティブ凸 ボーカルアルバム_ハイレゾ音源/05.恋影_ハイレゾ.wav
missing_tag			/mnt/d/yu28s/Music/Music Center/Music Center/ハミダシクリエイティブ凸 ボーカルアルバム_ハイレゾ音源/12.恋影(Instrumental)_ハイレゾ.wav
missing_tag			/mnt/d/yu28s/Music/Music Center/Music Center/ハミダシクリエイティブ凸 ボーカルアルバム_ハイレゾ音源/13.夏色カメラロール(Instrumental)_ハイレゾ.wav
missing_tag			/mnt/d/yu28s/Music/Music Center/ハミダシクリエイティブ凸 ボーカルアルバム_ハイレゾ音源/01.一冊のアロー_ハイレゾ.wav
missing_tag			/mnt/d/yu28s/Music/Music Center/ハミダシクリエイティブ凸 ボーカルアルバム_ハイレゾ音源/02.Heart Creation_ハイレゾ.wav
missing_tag			/mnt/d/yu28s/Music/Music Center/ハミダシクリエイティブ凸 ボーカルアルバム_ハイレゾ音源/03.happy palette♪_ハイレゾ.wav
missing_tag			/mnt/d/yu28s/Music/Music Center/ハミダシクリエイティブ凸 ボーカルアルバム_ハイレゾ音源/04.トキラキメキ_ハイレゾ.wav
missing_tag			/mnt/d/yu28s/Music/Music Center/ハミダシクリエイティブ凸 ボーカルアルバム_ハイレゾ音源/05.恋影_ハイレゾ.wav
missing_tag			/mnt/d/yu28s/Music/Music Center/ハミダシクリエイティブ凸 ボーカルアルバム_ハイレゾ音源/06.夏色カメラロール_ハイレゾ.wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/01 アオナツライン.wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/01_Shiny Sky Shiny Days_piano生演奏.wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/01_「おんなじ気持ち、ほんとの気持ち」Daisy×Daisy.wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/01_「ロオド・ラスト」中恵光城.wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/02 結び目.wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/02_「Forever With You」橋本みゆき＆佐咲紗花.wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/02_「明日へと」米倉千尋.wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/03 明日のこと。.wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/03_「Shiny Sky Shiny Days」NANA.wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/03_「思い出の結晶」松下.wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/03_水彩_piano生演奏.wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/04 海岸線.wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/04_Blooming Symphony_piano生演奏.wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/04_「My Wish Forever」榊原ゆい.wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/04_「The road we belong」AiRI.wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/05 Blue, Summertime Blue.wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/05.恋影_ハイレゾ.wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/05_The Road We Belong_piano生演奏.wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/05_「hello! new world」Faylan.wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/05_「繋いでいく未来」櫻川めぐ.wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/06 アオナツライン (Instrumental).wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/06_「On the Rails」佐々木恵梨.wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/06_「水彩」riya（eufonius）.wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/06_繋いでいく未来_piano生演奏.wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/07 結び目 (Instrumental).wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/07_My Wish Forever__piano生演奏.wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/07_「はじめてのこい」rino(CooRie).wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/07_「ひだまりライン」はな.wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/08 明日のこと。 (Instrumental).wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/08_indivisible love_piano生演奏.wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/08_「blooming symphony」Ayumi.(Astilbe.wav
missing_tag			/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/08_「Indivisible Love」奥井雅美.wav
