せつなさのグラデイション		/mnt/d/yu28s/Music/feng/2-03_せつなさのグラデイション_ハイレゾ.wav
あかね色に染まる坂		/mnt/d/yu28s/Music/feng/2-04_あかね色に染まる坂_ハイレゾ.wav
星空へ架かる橋		/mnt/d/yu28s/Music/feng/2-05_星空へ架かる橋_ハイレゾ.wav
広がる夜空の下で		/mnt/d/yu28s/Music/feng/2-06_広がる夜空の下で_ハイレゾ.wav
Let’s GO☆ミ		/mnt/d/yu28s/Music/feng/2-07_Let’s GO☆ミ_ハイレゾ.wav
乙女至上主義		/mnt/d/yu28s/Music/feng/2-08_乙女至上主義_ハイレゾ.wav
4SEASONs		/mnt/d/yu28s/Music/feng/2-09_4SEASONs_ハイレゾ.wav
星空のいま		/mnt/d/yu28s/Music/feng/2-10_星空のいま_ハイレゾ.wav
マリンブルーに沿って		/mnt/d/yu28s/Music/feng/3-01_マリンブルーに沿って_ハイレゾ.wav
キスのひとつで		/mnt/d/yu28s/Music/feng/3-02_キスのひとつで_ハイレゾ.wav
冬に咲く華		/mnt/d/yu28s/Music/feng/3-03_冬に咲く華_ハイレゾ.wav
夜明けのベルが鳴る		/mnt/d/yu28s/Music/feng/3-04_夜明けのベルが鳴る_ハイレゾ.wav
ホントノトコロ		/mnt/d/yu28s/Music/feng/3-05_ホントノトコロ_ハイレゾ.wav
Because of		/mnt/d/yu28s/Music/feng/3-06_Because of_ハイレゾ.wav
片思いのメロディを		/mnt/d/yu28s/Music/feng/3-07_片思いのメロディを_ハイレゾ.wav
JUMPING TO DAYS!		/mnt/d/yu28s/Music/feng/3-08_JUMPING TO DAYS!_ハイレゾ.wav
友愛進化論		/mnt/d/yu28s/Music/feng/3-09_友愛進化論_ハイレゾ.wav
夢と色でできている		/mnt/d/yu28s/Music/feng/3-10_夢と色でできている_ハイレゾ.wav
これくらいで		/mnt/d/yu28s/Music/feng/3-11_これくらいで_ハイレゾ.wav
夢と色でできている Grand End		/mnt/d/yu28s/Music/feng/3-12_夢と色でできている Grand End_ハイレゾ.wav
恋影		/mnt/d/yu28s/Music/Music Center/Music Center/ハミダシクリエイティブ凸 ボーカルアルバム_ハイレゾ音源/05.恋影_ハイレゾ.wav
一冊のアロー		/mnt/d/yu28s/Music/Music Center/ハミダシクリエイティブ凸 ボーカルアルバム_ハイレゾ音源/01.一冊のアロー_ハイレゾ.wav
Heart Creation		/mnt/d/yu28s/Music/Music Center/ハミダシクリエイティブ凸 ボーカルアルバム_ハイレゾ音源/02.Heart Creation_ハイレゾ.wav
happy palette♪		/mnt/d/yu28s/Music/Music Center/ハミダシクリエイティブ凸 ボーカルアルバム_ハイレゾ音源/03.happy palette♪_ハイレゾ.wav
トキラキメキ		/mnt/d/yu28s/Music/Music Center/ハミダシクリエイティブ凸 ボーカルアルバム_ハイレゾ音源/04.トキラキメキ_ハイレゾ.wav
恋影		/mnt/d/yu28s/Music/Music Center/ハミダシクリエイティブ凸 ボーカルアルバム_ハイレゾ音源/05.恋影_ハイレゾ.wav
夏色カメラロール		/mnt/d/yu28s/Music/Music Center/ハミダシクリエイティブ凸 ボーカルアルバム_ハイレゾ音源/06.夏色カメラロール_ハイレゾ.wav
アオナツライン		/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/01 アオナツライン.wav
おんなじ気持ち、ほんとの気持ち	Daisy×Daisy	/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/01_「おんなじ気持ち、ほんとの気持ち」Daisy×Daisy.wav
ロオド・ラスト	中恵光城	/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/01_「ロオド・ラスト」中恵光城.wav
結び目		/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/02 結び目.wav
