reason	title	artist	source_path
existing_registered	桃幻浪漫	Airots & Active Planets & AUGUST	/mnt/d/yu28s/Music/Airots & Active Planets & AUGUST/桃幻浪漫 - Single/01 桃幻浪漫.m4a
existing_registered	KIRA*LIRA	グロリア*スノウ(天ヶ峰蓮菜 CV:東雲りあ×輝由奈 CV:小鳥居夕花)	/mnt/d/yu28s/Music/ASa Project/恋愛×ロワイアル ORIGINAL SOUND TRACK/06 KIRA_LIRA.m4a
existing_registered	レンブラントの光	yozuca*	/mnt/d/yu28s/Music/Compilations/D.C. II to You ボーカルミニアルバム - EP/01 レンブラントの光.m4a
existing_registered	First Time	夢乃ゆき	/mnt/d/yu28s/Music/Compilations/MELLOW MUSIC BEST 2020-2024/1-01 First Time.m4a
existing_registered	Petrichor	夢乃ゆき	/mnt/d/yu28s/Music/Compilations/MELLOW MUSIC BEST 2020-2024/1-02 Petrichor.m4a
existing_registered	アイを識らない。	夢乃ゆき	/mnt/d/yu28s/Music/Compilations/MELLOW MUSIC BEST 2020-2024/1-03 アイを識らない。.m4a
existing_registered	Rained Tonight	ricono	/mnt/d/yu28s/Music/Compilations/MELLOW MUSIC BEST 2020-2024/1-04 Rained Tonight.m4a
existing_registered	虹色の愛	夢乃ゆき	/mnt/d/yu28s/Music/Compilations/MELLOW MUSIC BEST 2020-2024/1-05 虹色の愛.m4a
existing_registered	トロイメライ	夢乃ゆき	/mnt/d/yu28s/Music/Compilations/MELLOW MUSIC BEST 2020-2024/1-06 トロイメライ.m4a
existing_registered	BlackAct	八花	/mnt/d/yu28s/Music/Compilations/MELLOW MUSIC BEST 2020-2024/1-07 BlackAct.m4a
existing_registered	アトリエ	ricono	/mnt/d/yu28s/Music/Compilations/MELLOW MUSIC BEST 2020-2024/1-08 アトリエ.m4a
existing_registered	パズル	hana	/mnt/d/yu28s/Music/Compilations/MELLOW MUSIC BEST 2020-2024/1-09 パズル.m4a
existing_registered	Condole	綺良雪	/mnt/d/yu28s/Music/Compilations/MELLOW MUSIC BEST 2020-2024/1-10 Condole.m4a
existing_registered	everlasting	夢乃ゆき	/mnt/d/yu28s/Music/Compilations/MELLOW MUSIC BEST 2020-2024/1-11 everlasting.m4a
existing_registered	Blue Skies	夢乃ゆき	/mnt/d/yu28s/Music/Compilations/MELLOW MUSIC BEST 2020-2024/1-12 Blue Skies.m4a
existing_registered	シンデレラ	八花	/mnt/d/yu28s/Music/Compilations/MELLOW MUSIC BEST 2020-2024/1-13 シンデレラ.m4a
existing_registered	ギフト	優莉	/mnt/d/yu28s/Music/Compilations/MELLOW MUSIC BEST 2020-2024/1-14 ギフト.m4a
existing_registered	プロローグ	hana	/mnt/d/yu28s/Music/Compilations/MELLOW MUSIC BEST 2020-2024/1-15 プロローグ.m4a
existing_registered	ヒロイン	夢乃ゆき	/mnt/d/yu28s/Music/Compilations/MELLOW MUSIC BEST 2020-2024/1-16 ヒロイン.m4a
existing_registered	First Love	MME	/mnt/d/yu28s/Music/Compilations/MME BEST 1/06 First Love.m4a
existing_registered	sing	MME	/mnt/d/yu28s/Music/Compilations/MME BEST 1/09 sing.m4a
existing_registered	Path to glory (PCゲーム まどそふと「セレクトオブリージュ」オープニングテーマ)	Faylan	/mnt/d/yu28s/Music/Compilations/セレクトオブリージュ ボーカルアルバム/01 Path to glory (PCゲーム まどそふと「セレクトオブ.m4a
existing_registered	Genuine world (PCゲーム まどそふと「セレクトオブリージュ」一色奏命エンディングテーマ)	燈華いのり	/mnt/d/yu28s/Music/Compilations/セレクトオブリージュ ボーカルアルバム/02 Genuine world (PCゲーム まどそふと「セレクトオブ.m4a
existing_registered	I will… キミがいるから (PCゲーム まどそふと「セレクトオブリージュ」蓼科イヴエンディングテーマ)	ななひら	/mnt/d/yu28s/Music/Compilations/セレクトオブリージュ ボーカルアルバム/03 I will… キミがいるから (PCゲーム まどそふと「セレクト.m4a
